stage,days
1,13.75
1,16.8
1,13
1,22.8
1,13.5
1,14.5
2,5.75
2,4
2,5.67
2,6
2,4.67
2,5.33
2,4.11
2,5
3,5.25
3,3.5
3,4.86
3,3.5
3,5
3,6.67
3,5
3,5.38
3,4.33
4,7.6
4,6.5
4,11.67
4,9.33
4,8
4,6.67
4,8
4,6.25
4,7.8
5,2.75
5,4
5,3.33
5,1
5,2.4
5,1.33
5,2
5,2
5,2.14
5,1
6,2.71
6,2
6,2.17
6,3
6,3.8
6,2.67
6,4
6,3
6,2.71
6,3.67
7,4.5
7,5.33
7,4.16
7,6
7,7
7,4
7,3
7,3
7,6
7,8.5
