,F1 ,F2,F3,F4,F5
2017-08-17,4,,,,
2017-08-18,4,,,,
2017-08-19,4,4,2,3,2
2017-08-20,5,4,2,4,2
2017-08-21,6,4,2,,2
2017-08-22,6,4,3,,2
2017-08-23,6,4,3,,2
2017-08-24,7,4,3,,2
2017-08-25,7,4,3,,2
2017-08-26,7,4,3,,2
2017-08-27,7,4,3,,2
2017-08-28,7,4,4,,3
2017-08-29,7,4,4,,3
2017-08-30,8,4,4,,3
2017-08-31,8,5,4,,3
2017-09-01,d+c,6,4,,4
2017-09-02,,6,4,,4
2017-09-03,,6,5,,4
2017-09-04,,6,6,,4
2017-09-05,,7,6,,4
2017-09-06,,7,7,,4
2017-09-07,,7,7,,4
2017-09-08,,7,7,,4
2017-09-09,,7,7,,4
2017-09-10,,7,7,,4
2017-09-11,,d+c,7,,5
2017-09-12,,,d+c,,6
2017-09-13,,,,,6
2017-09-14,,,,,6
2017-09-15,,,,,7
2017-09-16,,,,,7
2017-09-17,,,,,7
2017-09-18,,,,,7
2017-09-19,,,,,7
2017-09-20,,,,,7
